"Colors","CMC","Name","Rarity","Type","Card Kingdom","TCGPlayer","Face to Face","Cardmarket","Cardhoarder","Salt","Decks","Inclusion"
"undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined"
"","1","Sol Ring","uncommon","Artifact","1.79","1.3","102.21","0.64","0.04","1.2509960159362548","5212739","5212739"
"","2","Arcane Signet","uncommon","Artifact","0.69","0.46","0.72","0.34","0.05","0.8181818181818182","4486656","4486656"
"W","1","Swords to Plowshares","uncommon","Instant","1.99","1.15","1.82","0.81","0.04","0.615234375","1778786","1778786"
"W","1","Path to Exile","uncommon","Instant","1.49","0.99","1.45","0.76","0.03","0.504970178926442","1342298","1342298"
"G","3","Cultivate","common","Sorcery","0.99","0.63","1.09","0.33","0.02","0.1577909270216963","1285919","1285919"
"U","2","Counterspell","uncommon","Instant","2.99","1.53","2.18","0.33","0.04","0.8853503184713378","1287272","1287272"
"G","3","Beast Within","uncommon","Instant","1.79","0.97","1.81","0.51","0.31","0.31898238747553825","1048666","1048666"
"G","2","Farseek","common","Sorcery","1.79","0.74","1.45","0.05","0.03","0.16167664670658688","1006409","1006409"
"G","2","Rampant Growth","common","Sorcery","0.69","0.44","0.55","0.17","0.03","0.15992292870905583","992231","992231"
"R","9","Blasphemous Act","rare","Sorcery","3.49","1.82","2.54","1.93","0.02","0.657250470809792","1007338","1007338"
"U,B","2","Talisman of Dominance","uncommon","Artifact","0.99","0.72","1.45","0.41","0.03","0","495768","495768"
"G","2","Nature's Lore","uncommon","Sorcery","3.49","2.51","3.64","1.96","0.04","0.1641509433962264","910963","910963"
"R","3","Chaos Warp","rare","Instant","0.69","0.51","0.72","0.26","0.24","0.47953216374269003","937027","937027"
"B,G","2","Assassin's Trophy","rare","Instant","3.99","2.66","3.64","1.75","0.02","0.33589251439539336","395652","395652"
"G","2","Heroic Intervention","rare","Instant","13.99","10.76","14.56","8.94","0.02","0.9146757679180884","865564","865564"
"G","3","Kodama's Reach","common","Sorcery","2.49","1.45","2.18","0.63","0.03","0.16860465116279072","864471","864471"
"U,R","2","Talisman of Creativity","uncommon","Artifact","2.29","1.13","2.18","0.94","0.03","0","408944","408944"
"B,R","2","Rakdos Signet","uncommon","Artifact","1.29","0.71","1.45","0.49","0.03","0","393166","393166"
"U,B","2","Dimir Signet","common","Artifact","0.79","0.42","0.72","0.02","0.03","0","425611","425611"
"G","1","Birds of Paradise","rare","Creature","10.99","7.85","8.74","4.6","0.02","0.27514231499051245","797008","797008"
"B,R","2","Talisman of Indulgence","uncommon","Artifact","1.99","1.21","1.45","1.05","0.03","0","380561","380561"
"","2","Swiftfoot Boots","uncommon","Artifact","2.49","1.26","1.81","0.97","0.03","0.3934426229508196","1690513","1690513"
"U,R","2","Izzet Signet","common","Artifact","0.79","0.31","0.72","0.3","0.03","0","380501","380501"
"U","3","Rhystic Study","rare","Enchantment","64.99","51","58.28","31.25","1.96","2.607954545454544","796376","796376"
"W,B","2","Orzhov Signet","common","Artifact","0.69","0.29","0.55","0.21","0.03","0.1","365220","365220"
"W,B","2","Talisman of Hierarchy","uncommon","Artifact","1.79","0.7","1.81","0.78","0.03","0","363186","363186"
"U","2","Cyclonic Rift","mythic","Instant","44.99","36.5","32.78","25.66","0.02","2.3954802259887","780892","780892"
"","2","Lightning Greaves","uncommon","Artifact","6.99","4.6","6.55","3.24","0.03","0.6370808678500982","1549005","1549005"
"B,R,G","1","Ignoble Hierarch","rare","Creature","1.99","1.04","2.18","1.41","0.43","0.06486486486486491","143996","143996"
"W,U","2","Talisman of Progress","uncommon","Artifact","0.79","0.41","0.72","0.19","0.03","0","340211","340211"
"W,B","3","Anguished Unmaking","rare","Instant","2.99","1.63","2.54","1.72","0.02","0.3333333333333332","343563","343563"
"W,U","2","Azorius Signet","uncommon","Artifact","0.49","0.25","0.55","0.17","0.03","0.25","334329","334329"
"G","2","Three Visits","uncommon","Sorcery","7.99","6.65","7.28","6.34","0.12","0.18775510204081639","705133","705133"
"W","3","Generous Gift","uncommon","Instant","1.29","0.83","1.45","0.43","0.03","0.3575525812619503","690873","690873"
"R,W","2","Talisman of Conviction","uncommon","Artifact","0.35","0.29","0.36","0.2","0.03","0.4444444444444444","337977","337977"
"R,W","2","Boros Charm","uncommon","Instant","5.99","4","5.09","3.82","0.04","0.4259634888438134","337107","337107"
"R,G","3","Rhythm of the Wild","uncommon","Enchantment","5.49","3.5","5.09","2.07","0.03","0.44805194805194803","315015","315015"
"W","4","Smothering Tithe","mythic","Enchantment","42.99","35.7","43.71","22.4","0.03","2.3353474320241725","666392","666392"
"B","1","Dark Ritual","common","Instant","3.99","2.49","1.45","0.96","0.02","0.6050724637681155","724836","724836"
"U","1","An Offer You Can't Refuse","uncommon","Instant","2.99","1.49","2.18","1.16","0.03","0.7005988023952093","677900","677900"
"U","2","Negate","common","Instant","0.35","0.24","0.21","0.06","0.03","0.4854368932038834","673528","673528"
"R,W","2","Boros Signet","uncommon","Artifact","1.29","0.45","1.45","0.32","0.03","0","305653","305653"
"G,U","2","Growth Spiral","common","Instant","0.35","0.25","0.36","0.18","0.03","0.14314516129032254","298935","298935"
"","2","Fellwar Stone","uncommon","Artifact","1.49","0.96","1.45","0.7","0.04","0","1302765","1302765"
"B","2","Demonic Tutor","mythic","Sorcery","49.99","55.21","40.07","32.57","7.08","1.5517241379310338","654342","654342"
"G","1","Llanowar Elves","common","Creature","0.79","0.25","0.55","0.1","0.03","0.13627254509018047","595257","595257"
"U","2","Arcane Denial","common","Instant","1.99","1.69","2.91","1.81","0.1","0.6235741444866916","621523","621523"
"B,R","2","Terminate","common","Instant","0.49","0.37","0.55","0.29","0.03","0.2358490566037736","276042","276042"
"W","1","Esper Sentinel","rare","Creature","47.99","39","47.35","24.99","3.06","1.6576980568011959","557200","557200"
"U","1","Brainstorm","common","Instant","2.79","1.37","2.18","0.07","0.32","0.25656565656565683","588645","588645"
"G","3","Eternal Witness","uncommon","Creature","1.79","1.07","1.45","0.63","0.03","0.23828920570264767","547071","547071"
"R,W,B","7","Ruinous Ultimatum","rare","Sorcery","2.29","1.18","6.55","2.79","0.02","1.2014051522248261","127284","127284"
"W","3","Teferi's Protection","rare","Instant","54.99","47.02","47.35","25.99","4.79","2.0164835164835146","528689","528689"
"B","3","Toxic Deluge","rare","Sorcery","7.49","5.43","7.28","6.15","0.23","0.9058614564831261","572452","572452"
"U","3","Fierce Guardianship","rare","Instant","49.99","41.92","50.99","35.56","10.37","2.3584637268847803","555342","555342"
"G","2","Sakura-Tribe Elder","common","Creature","0.99","0.35","1.09","0.35","0.03","0.14770459081836335","512370","512370"
"W,U","2","Dovin's Veto","uncommon","Instant","0.99","3","3.64","0.02","0.03","0.7820000000000001","242656","242656"
"B","2","Feed the Swarm","common","Sorcery","0.59","0.25","0.55","0.2","0.03","0.2987288135593217","544655","544655"
"","2","Thought Vessel","common","Artifact","1.99","1.24","1.81","0.63","0.2","0","1072891","1072891"
"B","1","Reanimate","rare","Sorcery","9.49","7.3","7.28","6.27","0.2","0.8249496981891347","542520","542520"
"U","1","Mystic Remora","rare","Enchantment","9.99","7.04","9.46","6.72","6.04","1.5578512396694209","521431","521431"
"G","1","Elvish Mystic","common","Creature","0.99","0.49","0.72","0.38","0.03","0.16904276985743372","490953","490953"
"B","1","Vampiric Tutor","mythic","Instant","59.99","54.37","65.57","35.46","0.08","1.5034965034965035","526241","526241"
"U","1","Swan Song","rare","Instant","13.99","11.13","13.84","9.93","0.14","0.8876404494382024","509281","509281"
"W","1","Enlightened Tutor","rare","Instant","32.99","29.17","27.68","18.07","12.87","0.9467455621301776","472904","472904"
"G","3","Garruk's Uprising","uncommon","Enchantment","0.99","0.5","0.72","0.39","0.03","0.3708086785009862","477560","477560"
"R","3","Jeska's Will","rare","Sorcery","23.99","23.32","24.77","20.3","16.41","1.4342465753424651","498463","498463"
"R","1","Faithless Looting","common","Sorcery","0.59","0.25","0.36","0.29","0.04","0.13193116634799235","496744","496744"
"R","3","Deflecting Swat","rare","Instant","57.99","44.95","47.35","35.9","10.51","1.7448377581120946","493873","493873"
"","2","Mind Stone","uncommon","Artifact","0.59","0.25","0.36","0.13","0.04","0","1006665","1006665"
"W,B","2","Damn","rare","Sorcery","3.49","1.99","3.64","1.7","0.02","0.4591651542649728","225848","225848"
"G,W,U","1","Noble Hierarch","rare","Creature","10.99","8.8","10.19","7.5","0.37","0.16666666666666663","109978","109978"
"B","3","Phyrexian Arena","rare","Enchantment","2.99","1.94","2.54","1.61","0.02","0.28155339805825247","492819","492819"
"G,U,R","3","Temur Ascendancy","rare","Enchantment","4.99","4.15","5.09","1.57","0.02","0.22023809523809523","106148","106148"
"R","1","Vandalblast","uncommon","Sorcery","3.49","1.22","2.18","1.83","0.03","0.8580750407830344","474679","474679"
"B,G","3","Putrefy","uncommon","Instant","0.35","0.25","0.21","0.09","0.02","0.18290258449304173","203004","203004"
"W,U,B,R,G","4","Leyline of the Guildpact","rare","Enchantment","6.49","4.28","7.28","2.82","3.43","0.6470588235294118","48974","48974"
"U","2","Mana Drain","mythic","Instant","54.99","39.75","54.64","33.87","2.03","1.9715447154471564","452670","452670"
"W,B","2","Despark","uncommon","Instant","0.59","0.3","0.55","0.18","0.03","0.1939736346516007","205869","205869"
"G,W","3","Kutzil, Malamet Exemplar","uncommon","Creature","1.79","1","1.81","0.49","0.03","0.5818181818181818","170630","170630"
"B,R","2","Rakdos Charm","uncommon","Instant","1.29","0.63","1.45","0.62","0.03","0.48971193415637815","202310","202310"
"W,U,B,R,G","7","Morophon, the Boundless","mythic","Creature","5.49","6.37","5.09","3.23","0.02","0.8703703703703703","56394","56394"
"","3","Commander's Sphere","common","Artifact","0.35","0.25","0.21","0.1","0.04","0","868792","868792"
"W,U,B","3","Void Rend","rare","Instant","0.49","0.4","0.72","0.3","0.02","0.43859649122807015","101934","101934"
"U","1","Mystical Tutor","rare","Instant","14.99","12.04","12.38","6.86","0.47","1.0828828828828825","417182","417182"
"G,W","1","Avacyn's Pilgrim","common","Creature","0.69","0.49","0.72","0.51","0.03","0.08913043478260871","179373","179373"
"","4","Solemn Simulacrum","rare","Creature","0.49","0.3","0.36","0.17","0.02","0.07858546168958745","830542","830542"
"W,U","4","Supreme Verdict","rare","Sorcery","1.99","1.8","1.81","1.89","0.09","0.8503401360544219","183451","183451"
"R,G","2","Goblin Anarchomancer","common","Creature","0.79","0.84","0.72","0.27","0.03","0.1842650103519669","177079","177079"
"U","3","Frantic Search","common","Instant","0.59","0.32","0.55","0.17","0.04","0.3069498069498069","403467","403467"
"B,R","3","Bedevil","rare","Instant","1.29","0.39","1.09","0.24","0.02","0.1925233644859813","183635","183635"
"G,U","2","Simic Signet","uncommon","Artifact","0.35","0.25","0.21","0.19","0.03","0.09090909090909091","183283","183283"
"G","1","Worldly Tutor","rare","Instant","24.99","20.36","22.58","11.13","6.02","0.9712092130518236","378152","378152"
"G,U","2","Talisman of Curiosity","uncommon","Artifact","0.69","0.28","0.72","0.27","0.03","0","181664","181664"
"U,B","2","Baleful Strix","rare","Creature","1.49","0.49","1.09","0.7","0.29","0.23725490196078447","196266","196266"
"W","6","Farewell","rare","Sorcery","4.99","4.69","5.82","3.22","1.67","2.1955307262569836","362828","362828"
"B,G","2","Talisman of Resilience","uncommon","Artifact","0.35","0.29","0.36","0.23","0.03","0.125","165690","165690"
"W,B","2","Lotho, Corrupt Shirriff","rare","Creature","8.99","5.38","8.74","4.37","0.02","0.4081632653061225","177923","177923"
"U","3","Windfall","uncommon","Sorcery","4.99","3.59","4.36","2.42","0.39","0.8931034482758621","384123","384123"
"U","3","Propaganda","uncommon","Enchantment","2.79","1.9","36.42","1.32","1.01","1.23319027181688","382910","382910"